oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
GSTO2,0.03,0.36,0,0,0.19,0,0.04,1.02,0.77,0,0,0,0,0.1,0,0.66,0.18,2.43,18.8,0.23,5.95,28.75,7.18,0,3.5,0.08,30.95,37.49,46.67
GTPBP4,7.86,0.32,5.05,1.11,0.12,0.69,0.25,1.41,0.04,1.37,0.24,2.41,5.58,0.1,0.45,146.68,138.08,153.13,99.54,127.65,44.31,122.51,37.77,127.65,48.63,109.97,49.46,72.39,79.5
H2AFY2,0.03,0,0,3.06,1.43,0.14,9.76,3.38,18,0.74,0.83,7.43,0.76,11.26,4.85,1.72,0.85,2.49,0.03,0,0.72,7.54,0,0,1.77,2.54,0.11,0.13,0
HABP2,27.7,28.89,31.01,108.97,114.63,141.37,222.87,106.67,322.98,64.34,103.26,371.48,406.65,161.99,345.24,8.52,6.62,21.4,47.84,26.51,45.23,76.65,93.22,29.27,54.7,100.7,0.47,0.06,0.06
HECTD2,20.44,16.38,28.25,6.1,6.26,5.22,5.11,13.57,12.64,12.94,21.05,2.64,4.07,3.29,8.19,0,0.04,0,6.46,0,0,0,0.34,0,0.03,0,0.42,0.04,0.42
HELLS,57.13,38.38,70.19,12.87,11.81,15.68,17.69,22.68,12.07,27.83,41.94,25.66,15.73,4.2,8.44,17.96,5.03,2.48,20.35,22.17,21.26,0.97,0.66,24.04,2.2,34.61,19.28,17.18,25.15
HERC4,37.15,16.53,27.81,5.36,7.91,3.4,3.1,16.86,8.71,31.95,3.61,4.55,59.97,4.71,4.83,11.7,2.27,3.99,0.03,18.67,0.82,0,2.62,13.29,0.03,0.28,4.26,21.79,19.21
HHEX,114.02,121.39,87.91,121.39,47.01,43.64,118.72,88.55,63.34,79.57,79.65,57.02,148.22,72.23,39.89,3.97,27.47,0,0.03,11.83,1.36,0,0.72,0.9,0.03,16.14,0.01,5.58,0.21
HIF1AN,2.36,1.08,0,0.81,0.95,0.63,1.89,0.73,0.84,3.9,0.47,3.14,8.89,6.04,1.88,2.49,2.93,1.85,9.05,0.32,6.24,1.15,3.97,4.1,0.03,0.8,6.9,3.14,2.04
HK1,0.03,0,0,0,0,0,0,0,0,0.26,0,0,0,3.7,0,3.95,2.3,0.8,8.6,14.69,8.75,0.68,1.04,1.4,5.2,0.42,23.59,8.34,7.15
HKDC1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.33,0.09,0,13.58,0,0,0,0,0,0.03,0,17.49,3.26,5.08
HNRNPF,163.36,172.49,310.29,188.83,161.67,186.78,147.46,148.22,188.83,238.32,118.54,171.43,168.56,132.48,151.12,306.95,411.66,302.31,87.57,759.37,246.56,275.75,121.2,232.68,148.84,465.77,85.65,195.48,159.51
HNRNPH3,106.36,75.81,146.02,35.16,33.38,25.2,33.88,42.84,46.08,110.1,95.9,45.86,121.2,131.47,91.6,30.79,19.07,22.84,57.74,21.64,13.03,8.63,18.56,23.73,7.58,11.18,29.97,86.05,95.83
HPS1,7.43,0.37,0,0.56,0.13,1.52,0.33,0.24,0.61,0.6,0,2.51,0,0.1,0,0.39,0.11,0.83,0.03,4.65,0.74,0,3.59,0,0.03,0.3,3.57,1.99,1.66
HPS6,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.23,0.35,0,0.03,0,0,0,1.45,0.72,5.99,1.88,6.46,1.8,0.42
HPSE2,8.37,8.96,10,5.03,6.88,6.63,6.65,8.66,7.16,8.04,10.61,9.09,5.4,20.58,11.01,0.77,1,2.08,10.55,2.53,0.29,0,1.99,2.61,1.19,8.56,0.01,0,0
HSPA12A,3.31,4.32,4.78,1.64,3.97,2.87,2.01,8.87,2.84,3.09,9.04,2.29,2.05,0.1,1.13,0,0,1.63,0.03,2.99,0.36,0,0.41,0,0.03,0.15,0,0.23,0
HSPA14,4.37,143.45,10.39,33.2,5.73,6.13,12.64,8.51,20.82,17.96,7.26,0.64,21.12,22.53,1.61,100.36,77.78,101.01,235.47,125.07,115.65,36.31,123.6,156.97,24.1,92.56,84.22,170,153.67
HTR7,12.98,2.94,5.32,1.62,1.93,0.43,3.22,0.53,0.67,0,0.89,0,16.55,0.1,0.27,5.93,0,1.74,0.03,1.91,0.52,0,0.44,0,0.03,0.11,1.1,0,0
IDE,17.24,20.44,30.08,60.21,43.61,62.06,112.2,107.61,106.54,122.14,97.81,46.21,114.63,126.35,73.29,0.52,0.28,1.98,23.1,3.68,1.32,5.56,10.29,7.14,3.71,11.77,5.65,8.52,15.31
IDI1,3.17,74.63,12.21,4.48,1.84,0.33,8.25,5.52,8.19,14.87,26.14,0.23,0.56,0.1,9.48,162.93,76.59,84.77,8.66,5.07,5.99,12.86,9.98,23.98,13.91,52.35,28.94,54.96,55.36
IDI2,0.03,0,0,0,0.31,0,0,0,0,0,0,0,0,0.1,0.38,0,0.4,0,0.03,0,0,0,0,1.53,0.03,0,0.81,1.29,0.95
IKZF5,0.03,17.51,16.6,2.12,5.23,4.58,0.99,1.68,0.82,7.69,3.55,3.94,1.52,0.1,7.44,46.59,11.87,68.13,64.72,40.88,52.45,25.87,1.05,23.4,5.07,89.51,5.02,12.71,21.35
IL15RA,0.03,4.6,1.03,0.18,0.21,1.2,0,1.15,0,0,0,0.38,0,0.1,0,0,1.5,0,0.03,0,0,0,0,0,0.03,0,0,0,0
IL2RA,9.09,2.5,6.36,1.65,0.87,1.7,2.34,7.31,0.96,7.01,11.33,0.75,2.43,9.25,1.96,2.23,0.39,0.35,7.62,2.72,3.89,1.47,8.37,4.92,4.42,4.11,0.04,0,0
INA,5.25,19.96,1.24,0.51,3.3,1.59,2.58,6.4,1.47,6.67,3.97,1.94,13.63,0.1,3.23,0.17,0,0,0.03,0,0,0,0,0,0.03,4,0,2.47,2.03
INPP5A,0.03,0.51,1.31,1.59,1.06,1.32,1.97,2.2,1.44,6.04,2.11,1,3.87,0.1,4.85,0.26,0.31,0.11,0.03,0.17,0,0,0,2.24,0.03,0.83,1.9,4.16,4.55
INPP5F,263.03,237.27,189.62,120.97,105.29,215.76,139.06,216.2,146.92,147.14,116.4,141.37,73.38,112.03,157.27,47.05,26.14,39.12,18.88,35.87,10.33,18.87,27.81,41.15,84.77,36.61,25.66,51.55,55.55
IPMK,0.03,0.78,0,0.07,0.39,0,0.5,0,2.02,0,0,1.19,0,3.97,0,4.04,12.2,17.36,4.72,0.93,0,0,14.98,2.83,0.03,0.67,0.98,1.43,1.01
ITGA8,0.03,0.66,1.42,0.02,0,0.05,0.07,0.4,0,0,0.43,0.14,0,0.1,1.19,0,0,0,0.03,0,0,0,0,0,0.03,0.53,0,0,0
ITGB1,2.55,0.32,0.71,0.29,0.26,0.2,0.48,0.22,0.35,1.31,1.77,2.24,2.46,0.1,1.5,5.85,3.88,1.93,3.22,16,5.39,1.76,7.9,0.82,1.56,2.15,0.44,0.17,0.18
ITIH2,8.74,0.84,0,0.76,0.08,0.01,0.8,0,0,0,0.35,0.86,0.92,0.1,2.6,0,0,0,0.03,0,0,0,0,0,0.03,0.51,0,0,0
ITIH5,15.66,5.42,8.24,4.71,12.4,5.85,1.78,7.71,4.69,8.22,2.28,6.77,13.34,12,11.79,0.09,0.12,0.65,8.03,3.47,8.51,8.87,7.69,4.33,1.57,4.68,0.02,0.03,0
ITPRIP,0.03,0,0,0.02,2.27,5.36,0.85,0.76,0,1.35,0.66,0,0,0.1,0,1.98,0,2.33,31.88,1.71,6.05,11.79,0.54,5.89,20.7,8.91,1.61,0.03,2.15
JAKMIP3,4.84,2.16,5.14,0.5,0.34,2.82,0.45,0.26,0.48,0.59,1.19,0.66,0.47,0.1,0.83,0,0.27,0,0.03,0,0,0,0,0,0.03,0.09,0,0,0
JMJD1C,7.47,4.37,5.76,1.09,0.95,0.42,0.33,0.56,0.65,0.75,1.81,1.17,0.64,0.1,2.01,5.19,1.32,2.25,0.03,2.77,0.41,1.6,0.78,0,0.97,0.3,0.79,3.62,4.1
KCNIP2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,3.93,0,0.22,7.45,0,0,2.24,0,3.55,0.03,0.58,0.17,0,0
KCNK18,7.72,0.37,0.88,1.08,4.22,3.51,5.26,4.21,3.2,1.24,0,0.24,0,0.1,0,12.33,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
KIAA0913,0.03,0.1,2.84,0.87,1.03,1.53,0.73,0.57,1.04,2.23,0.69,0.57,2,0.1,1.08,5.21,7.43,2.57,2.62,0.87,5.24,3.63,4.82,6.85,5.87,1.63,2.39,0.35,0
KIAA1274,0.03,0,0,0.04,0.03,0.27,0.24,0,0,0.2,0,0.12,0,0.1,0.51,0,0,0,0.03,0.5,0,0,0,0,0.03,0,0,0,0.03
KIAA1279,54.07,132.13,45.17,109.97,63.61,42.02,128.06,74.08,83.8,132.48,67.77,279.59,81.61,201.01,135.95,11.81,36.97,7.09,1.79,1.11,0,0,0,0,0.03,6.1,5.51,12.97,17.38
KIAA1462,0.03,0,0,0,0,0,0,0,0,0,0,0.15,0,0.1,0,0.71,0.29,0.9,0.03,0,0,0,0,2.31,1.16,0.01,0,0.71,0.47
KIAA1598,3.28,4.03,0.59,7.02,2.29,0.03,22.38,3.99,25.78,17.61,29.02,10.11,6.94,6.18,8.07,12.45,3.21,2.81,0.03,5.54,2.97,12.86,1.52,8.66,12.33,1.45,12.04,19.96,18.04
KIF11,6.03,9.29,5.27,9.6,4.32,4.09,12.97,13.38,11.47,31.28,10.1,13.66,5.98,46.59,10.35,12.73,23.42,18.93,1.79,7.89,3.51,15.13,1.72,2.59,6.74,10.46,19.93,34.79,32.89
KIF20B,108.79,42.8,84.41,31.69,19.7,17.21,15.56,43.85,36.28,53.74,17.36,24.7,34.59,35.29,16.68,9.11,22.12,14.68,0.03,4.39,2.45,0,0,19.81,1.41,13.55,4.04,17.74,14.01
KIF5B,25.4,39.28,57.79,23.56,27.61,34.39,20.31,17.14,26.24,41.29,43.33,24.74,23.61,76.17,7.07,14.24,15.45,17.98,1.62,16.26,11.11,1.19,0.84,4.56,0.03,8.09,14.87,50.4,47.84
KILLIN,1.81,0.72,2.14,0.16,0.04,0.2,0.02,0.36,0.15,2.43,0.87,1.36,0,0.1,0.26,0,0,0.81,0.03,0,0,0,1.46,0,0.03,4.11,0.1,0.05,0.29
KIN,0.03,16.27,5.35,40.2,23.9,27.62,3.82,8.42,12.7,0.74,4.62,18.36,0,3.88,0.33,53.88,74.16,71.86,72.8,62.98,60.14,35.55,50.62,44.99,4.34,55.72,25.76,10.18,17.99
KLF6,0.03,0.16,0,0.38,0.48,0.39,0.06,0,0.4,0,0,0.15,0,0.1,0.67,0,0,0.3,0.03,0,0,0,0,1.16,1.15,0,0.27,0.05,0.38
LARP4B,20.86,21.82,19.06,10.91,19.99,25.96,12.15,19.46,20.84,5.5,6.67,6.37,19.5,8.59,7.96,11.2,13.68,14.22,3.08,4.71,15.13,8.73,13.4,16.64,24.2,1.82,3.53,3.65,3.26
LCOR,4.23,6.59,9.36,12.93,10.35,18.75,13.65,8.25,12.27,11.87,11.48,21.55,12.02,7.95,21.81,9.36,9.28,7.73,17.66,13.87,3.72,1.57,5.26,5.17,10.49,4.51,0.27,1.13,0.25
LDB1,2.95,4.93,8.32,2.09,3.96,4.37,2.6,5.83,2.85,0,2.49,2,8.7,0.1,0.63,13.58,15.12,13.32,4.74,0.93,0,1.84,0.36,10.35,59.4,8.61,16.1,1.44,2.19
LHPP,0.03,0,0,0.14,0.96,1.67,1.04,1.98,0.31,0,0,0.79,0.37,0.1,1.57,0.21,0.24,0.15,2.39,0,0,4.83,0,1.61,3.29,0.8,0.12,0.42,1.75
LIPA,118.54,32.79,47.65,12.33,22.01,5.92,26.96,31.66,9.37,8.69,4.48,2.93,1.49,5.68,5.88,2.48,0.77,2.05,1.74,11.55,0.38,0.94,18.2,0,0.03,0.05,0.55,2.01,2.12
LIPM,20.37,3.37,0,0.57,3.57,0.36,3.13,0.73,2.38,0.41,0,8.94,1.34,0.1,2.82,0.16,0,0,0.03,31.44,1.27,0,5.46,0,0.03,0.31,0,0,0
LOC729020,8.89,0.42,3.21,0.27,0.56,0.12,1.12,0.72,2.67,1.09,1.89,4.23,1.82,43.72,0.32,8.29,2.12,4.83,0.03,2.62,3.52,4.43,0.65,5.28,16.38,1.3,5.51,7.83,5.49
LRRC20,11.91,5.13,0,1.13,1.54,2.9,0.65,0.11,0.7,0.8,0,1.51,1.79,0.1,5.65,0.61,0,0.09,0.03,2.09,0,0,0,1.29,18.36,0.04,0.86,0.33,0.06
LRRC27,0.03,0,1.57,0.3,0.09,0.19,0.24,0.28,0.22,0,0.9,0.12,0,0.1,0.41,0,0,0,0.03,0,0,1.56,0.2,0,0.03,0,0,0,0.03
LZTS2,0.03,0.18,0,0.66,1.55,1.66,0.56,0.58,0.87,1.62,0.37,0.5,0.78,0.1,0.8,0.12,0.08,0.44,0.03,0,3.09,0,0.93,0,0.03,3.01,0.6,0.22,0.11
MAP3K8,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.53,1.78,5.6,2.52,0,0.34,0,11.32,0.82,5.6,0.63,4.46,8.67,7.48
MAPK8,0.03,0.2,0,0.49,0.58,0.83,1.35,1.95,3.28,6.25,0.41,2.26,6.6,7.37,4.2,4.01,2.7,6.45,0.03,2.14,0,0,0,30.61,0.03,0.43,0.01,0.41,0.22
5-Mar,50.26,36.89,41.92,31.51,26.21,21.61,19.13,42.4,21.55,39.99,31.82,5.05,4.64,50.62,30.04,21.35,17.53,18.04,9.82,4.15,17.76,35.26,43.85,7.01,47.88,17.86,3.8,8.19,10.15
8-Mar,0.03,0,0,1.06,0.05,0.02,0.3,0,0.46,0,2.53,2.61,0.83,3.36,3.03,29.41,21.88,21.29,29.12,9.93,42.09,25.26,36.46,23.99,10.45,22.6,10.37,1.34,1.16
MARVELD1,0.03,0.85,0,0.45,0.25,1.74,0.16,1.16,1.32,0,0.22,0,0,0.1,0.28,0.11,0.6,3.85,0.03,0,0,0,0.33,14.78,1.39,2.64,7.76,0.62,0.68
MASTL,20.67,59.56,37.94,12.75,18.88,15.58,28.23,25.12,29.04,23.33,33.13,36.66,38.86,56.16,41.62,49.46,43.74,32.41,54.84,49.29,11.57,3.56,9.85,68.4,46.81,124.4,5.68,22.17,15.56
MAT1A,0.03,0.39,0.72,2.26,4.16,2.54,2.6,0.96,2.94,4.68,0.95,6.99,4.25,11.78,1.15,0,0,0,1.47,4.74,0.69,3,1.59,0,0.03,1.53,0,0,0.03
MBL2,0.03,0.65,3.96,0,0,0.26,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
MCM10,24.18,12.8,23.42,14.65,9.96,12.73,10.46,16.35,17.55,17.58,21.46,28.52,8.99,40.85,12.78,4.21,9.1,13.58,12.82,2.18,29.3,7.85,2.87,6.4,3.46,6.02,17.16,33.32,35.97
MEIG1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,11.2,0.03,0,0.38
METTL10,0.03,0.28,0,0.11,0,0.39,0.86,0.41,0.25,1.31,0.23,0.14,0,0.1,0.3,38.55,33.13,27.11,49.29,67.71,50.65,20.21,45.72,41.4,37.3,108.08,8.66,14.5,9.38
MGEA5,7.25,2.55,8.59,13.49,3.93,6.57,14,26.84,11.58,13.61,23.62,10.82,8.57,99,16.94,26.65,11.49,26.3,2.35,12,1.31,0.9,0.92,31.98,10.34,18.43,44.28,88.27,80.09
MGMT,30.25,26.93,34.47,15.7,18.51,21.02,9.37,19.19,28.91,19.5,24.78,19.21,5.1,36.94,20.09,0.12,1.8,2.08,2.88,8.39,7.59,5.89,24.95,8,17.3,4.31,2.83,0.39,0
MINPP1,29.2,10.72,26.26,3.42,2.67,1.3,3.46,2.37,2.91,9.29,1.34,0.48,0,0.1,0.89,7.08,4.05,23.93,1.49,24.45,30.02,8.2,0.76,0.92,28.95,32.78,3.14,10.58,17.54
MKI67,0.03,0.67,0.43,1.2,0.17,0.3,0.04,0.41,1.03,1.29,3.34,0.88,0.34,2.62,0.44,14.26,6.59,15.06,11.42,10.35,8.25,3.88,7.35,5.09,3.54,7.36,10.44,7.73,8.76
MLLT10,25.96,10.91,20.74,9.04,12.52,12.51,9.99,14.22,12.06,9.5,13.36,28.79,11.05,12.7,14.69,1.01,1.66,15.74,22.52,4.7,0.75,0.62,1.44,15.97,6.43,1.04,2.74,3.81,4.71
MMRN2,0.03,0,0,0,0,0,0,0,0,0,0,0,0.47,10.04,0,0,0.18,0,0.03,0,0,0,0.8,1.8,0.03,0.05,0.07,0.03,0.11
MMS19,15.69,0.51,0.42,4.08,7.97,9.1,5.64,2.96,4.45,0.93,0.47,9.22,3.74,25.59,7.4,4.53,9.04,5.27,29.87,16.49,16.65,13.58,12.8,7.95,19.43,20.23,12.81,1.85,2.9
MORN4,0.03,0.84,0,0.12,0.3,3.59,0.44,0.07,0.1,0,0,0.14,0,3.44,0,0,0.13,0.09,0.03,1.22,0,0,2.97,0,0.03,0,0.14,0.15,0.07
MPP7,34.5,14.52,27.19,3.45,3.98,3.82,5.41,8.19,1.6,3.05,1.11,9.32,8.76,6.97,6.02,1.5,0.47,3.54,1.21,0,0.27,0,9.15,0,0.03,0.43,1.45,1.2,3.75
MRPL43,8.26,12.86,4.11,8.77,12.03,8.15,6.94,6.41,11.16,4.13,4.45,24.97,26.95,20,26.34,77.97,51.87,60.87,124.22,67.39,60.77,51.03,20.05,107.74,173.38,57.28,47.65,10.52,8.91
MRPS16,39.35,15.35,23.48,8.43,17.1,19.75,18.4,22.07,22.72,33.3,16.75,22,27.09,39.14,34.42,21.74,20.75,24.97,75.65,26.1,22.98,40.17,72.01,27.56,31.1,95.39,79.79,44.28,45.72
MSMB,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,20.13,20.16,0,0.03,0.86,2.21,43.2,0,0,0.03,23.16,0.66,0.39,7.41
MSRB2,10.11,6.5,14.62,2.48,3.68,1.95,2.4,2.46,4.23,2.67,10.21,2.27,9.52,16.61,4.96,0,0.97,0.47,0.03,9.4,0.49,0,0,7.46,0.03,0.4,0,1.27,0.15
MTG1,18.84,2.16,1.04,0.2,0.12,0.07,1.94,2.4,0,0,0,0,0,0.1,0.92,0.98,16.87,10.82,5.28,7.13,78.14,4.13,7.89,19.46,45.31,7.96,40.82,11.25,17.8
MTPAP,74.86,54.6,98.64,32.05,20.37,16.43,25.16,43.33,31.71,61.94,58.07,23.86,41.78,57.67,24.11,13.46,6.78,15.15,2.69,9.62,21.27,5.8,10.26,23.92,6.53,25.74,14.73,29.47,25.4
MXI1,16.53,24.82,28.77,24.94,10.96,10.69,3.58,9.86,9.56,22.11,14.08,1.19,7,0.1,7.94,7.23,4.33,0.55,0.03,0.2,0.31,1.86,2.57,0.6,0.03,6.12,0.97,1.41,1.95
MYOF,4.61,4.3,6.83,5.98,3.93,6.14,4.8,3.19,11.75,10.6,3.38,18.29,13.04,54.36,24.56,0.32,0.79,1.79,1.46,2.16,7.52,4.94,4.75,0,1.73,2.62,0.54,4.24,4.95
MYPN,0.03,0,0,0.05,0,0,0.03,0,0,0,0,0,0,0.1,0.25,0,0.78,0,0.03,0,0,0,0,0,1.49,0.66,0,0,0.12
MYST4,6.45,3.86,3.33,3.7,2.65,1.72,0.74,0.31,1.44,5.69,0.77,0.83,0.33,0.1,3.66,7.73,8.47,3.23,1.32,0.35,5.19,2.17,1.62,11.49,9.55,0.49,1.8,2.44,3.17
NANOS1,33.63,45.26,49.26,248.18,231.43,194.15,142.8,236.66,103.84,148.61,106.2,64.78,164.04,127.65,136.48,4.43,11.65,7.23,4.5,19.86,3.29,28.88,22.99,0.88,2.66,23.96,3.47,3.05,3.59
NCOA4,27.23,32.32,25.78,30.79,20.59,23.06,27.52,32.87,28.44,72.31,52.55,31.46,27.01,2.97,42.21,110.71,23.08,66.53,36.11,53.69,15.18,15.28,10.13,20.7,54.89,39.2,59.06,161.67,170.72
NDST2,0.03,0.19,0.99,1.61,3.64,7.44,1.58,0.32,2.36,0.31,1.2,2.01,4.88,0.1,1.11,0.81,0.15,3.3,0.03,3.54,0.3,0,1.1,1.74,0.03,1.82,3.11,0.15,0.2
NDUFB8,321.68,321.68,279.59,335.8,440.05,502.88,384.21,370.15,471.41,221.39,492.51,877.54,895.32,260.63,833.61,158.2,305.6,298.6,215.06,340.31,351.69,435.45,776.31,231.43,121.61,484.52,289.46,131.47,122.3
NEBL,2.14,8.4,5.31,3.95,5.26,0.9,10.12,10.94,3.41,21.93,15.03,2.48,7.43,0.1,1.07,0.49,0.27,0.48,1.07,0.13,2.62,0.36,1.15,0,0.03,1.75,0.01,0,0
NET1,7.87,13.23,24.22,15.48,12.15,18.29,14.58,4.65,19.31,24.98,21.37,18.77,19.97,6.07,26.55,37.94,15.02,40.88,4.19,7.58,1.23,5.15,17.79,15.68,24.78,22.98,3.25,5.15,11.83
NEURL,0.03,4.4,8.22,0.97,4.26,2.77,1.47,3.86,2.01,1.96,6.27,1.47,0,0.1,5.85,0.19,0.23,1.25,1.31,3.54,5.58,3.05,0.39,2.32,8.7,0.1,2.66,0.43,0.3
NEUROG3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.17,0,0,0.03,0.36,5.63,0,0,0,0.03,0,0,0,0
NFKB2,9.5,6.14,7.57,2.9,4.62,11.45,2,6.04,2.67,1.56,15.09,4,6.43,7.44,11.55,2.34,1.1,1.63,6.56,4.92,19.71,9.13,4.73,5.78,17.92,5.68,4.25,1.07,0.46
NHLRC2,1.37,4.95,5.57,9.1,5.95,4.01,19.3,23.7,39.35,17.13,33.88,28.67,28.91,0.1,29.7,2.86,2.25,6.03,0.03,0.31,4.58,0,0,0,0.03,0.67,3.07,10.37,10.01
NKX2-3,0.03,0,0,0,0,0,0,0.06,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,3.31,0,0,0
NMT2,0.03,0,0.46,0.02,0.04,0.34,0.19,0.52,0.39,0,0,0,0,0.1,0,4.69,3.56,2.22,1.82,12.91,1.09,0.51,1.24,7.57,11.66,2.15,3.16,6.6,2.17
NOC3L,5.24,0.56,2.41,32.66,10.14,6,35.69,16.67,14.47,37.92,18.85,23.75,17.2,75.39,2.42,26.07,20.12,12.1,0.03,10.99,1.85,13.47,0,18.83,3.25,8,12.6,16.9,25.71
NODAL,2.1,0.21,0,1.04,3.5,6.36,1.36,0,3.29,1.18,0,0.23,0,14.83,0.48,0.19,0.38,2.95,26.57,0,0,0,1.36,0,0.03,0.49,23.09,2.27,1.46
NOLC1,2,5.74,9.18,20.09,20.41,9.12,12.56,9.09,7.54,13.78,9.53,40.56,6.29,4.94,32.53,187.55,205.88,239.67,117.44,345.24,140.88,114.02,95.39,112.32,130.76,131.89,118.17,160.63,165.3
NPM3,37.22,17.83,24.88,29.59,51.43,51.91,33.63,36.14,15.21,18.78,25.15,158.91,55.76,32.79,95.39,40.88,14.22,29.2,43.78,51.75,66.4,24.98,176.06,45.61,37.73,53.69,2.61,0.92,0.23
NRAP,9.35,6.41,4,13.23,10.63,19.62,11.48,10.47,27.67,11.88,14.96,46.18,29.63,35.05,42.73,0.53,1.65,0.37,13.39,1,11.64,7.69,15.39,3.19,8.44,9.71,0.19,0.04,0.23
NRBF2,33.96,8.19,39.14,5.67,1.34,2.94,0.84,5.01,0.97,8.7,6.03,3.46,1.66,28.75,5.01,268.97,175.65,228.69,39.67,56.5,48.5,20,14.35,79.65,16.83,114.02,64.59,110.35,103.84
NRG3,2.42,0.12,0,0.04,0.07,0.05,0.01,0.05,0,0,0,0,0,0.1,0,0,0,0,0.03,0.14,0,0,0,3.24,0.03,0,0,0,0
NSMCE4A,2573.61,1221.64,1518.31,877.54,905.02,857.78,1148.73,1277.23,1093.61,1200.62,1054.4,811.3,954.01,1277.23,1148.73,52.12,56.21,56.16,80.48,74.3,45.72,241.23,124.22,3.61,17.01,210.71,33.44,136.65,151.38
NSUN6,8.87,3.93,5.01,8.06,8.49,8.68,5.78,14.8,20.62,7.66,3.89,2.32,1.53,5.82,4.42,0.13,0.13,1.2,12.55,0,0,0,1.69,0,0.03,0.16,0.36,0.18,2.07
NT5C2,31.46,14.89,15.5,3.16,3.11,7.64,4.3,11.09,4.23,6.09,7.03,2.82,11.67,14.05,4.21,9.46,4.07,4.21,2.31,13.59,1.21,0.49,9.55,15.34,24.7,10.74,2.21,1.73,4.1
NUDT13,0.03,0,0,0,0,0,0,0,1.36,0,0,0,0,0.1,0,0,8.95,2.47,0.03,0,0.44,0,0.71,16.68,0.03,0.03,0.76,0.25,1.77
NUDT5,80.85,111.36,72.65,55.61,56.87,50.69,89.45,95.64,55.72,101.31,55.76,70.81,264.44,486.94,189.25,30.57,51.91,12.73,143.03,40.4,5.74,46.59,197.44,92.65,458.07,34.94,201.01,360.43,408.09
OAT,378.26,246.56,451.09,174.71,192.95,285.38,271.98,305.6,455.22,627.64,294.68,390.25,453.58,684.32,301.56,41.02,48.46,64.15,170,80.85,95,150.49,126.92,12.66,26.63,196.08,25.09,68.73,85.25
OBFC1,1.45,5.15,2.99,0.77,1.71,1.65,1.98,1.26,2.88,1.19,0,0.4,2.45,0.1,2.82,2.57,1.47,0.12,2.02,8.14,0.8,3.29,4.5,0.38,0.03,0.9,2.77,1.21,4.55
OGDHL,0.03,0,0,0.52,0.62,0.31,0.16,0,1.77,2.42,2.18,1.69,0.28,0.1,2.17,0,1.16,0,0.03,0,0,0,0,0,0.03,0.69,0.21,0,0
OIT3,0.03,0,0,0,0,0,0.04,0,0,0,0,0.32,0,0.1,0,0,0,0,0.03,0,0.41,0,0,1.96,0.03,0,0,0,0.04
OLAH,0.03,0,0,0,0,0,0,0,0.06,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,6.34,2.2,31.73,6.56
OPALIN,0.03,1.58,1.33,1.31,0.84,0.48,4.08,4.07,0.87,0.81,0.99,0.23,0,0.1,5.2,0,0,0,0.03,0,0,2.3,0,0,0.03,2.17,0,0,0
OPTN,0.03,0,0,0.7,0.06,0.15,2.05,0,0.49,0,0.61,0.33,0.92,4.61,0,8.56,0.38,2.79,3.51,2.57,0.66,7.86,3.92,3.58,1.32,6.46,4.93,8.64,18.8
OTUD1,4.78,3.75,8.31,1.4,0.59,1.17,2.01,1.11,0.28,2.05,0,0,0,0.1,2.45,8.16,2.12,9.01,0.03,0,0,0.46,1.53,0,0.03,9.56,10.68,17.17,9.45
P4HA1,19.68,13.37,11.32,7.66,14.07,3.43,15.65,9.6,19.3,10.43,2.17,18.97,9.76,32.81,9.15,1.38,0.49,3.87,0.03,1.43,5.21,24.62,16.91,2.66,2.95,14.21,2.43,12.26,8.62
PANK1,0.03,0.32,0.42,0.13,0.02,0.09,0.15,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,2.99,0
PAOX,3.21,2,4.92,1.06,0.93,0.83,1.28,2.22,0.67,6.96,0.78,1.3,4.8,0.1,1.82,0.37,0.44,0.61,3.44,0.29,0.8,0,1.32,1.44,0.03,11.79,1.41,0,0
PAPSS2,0.03,0,0,0,0.01,0.09,0,1.71,0,0,0,0,0.35,0.1,0,0,0.2,0,0.03,0,0,0,0,0,0.03,0,0.28,0.92,0.18
