oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
FZD2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.46,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
G6PC3,3.28,2.67,1.95,2.31,3.09,6.77,2.19,6.71,0.59,4.29,0.66,2.68,0,0.1,0,0,0,0,46.27,0.75,17.8,10.14,33,0.94,8.15,0.4,20.67,3.81,7.05
GAA,0.03,0.18,0,0.38,0.77,0.32,0.22,0.15,0.45,0,0,2.29,0,0.1,3.57,0.32,0.05,0.08,0.03,0.2,4.31,0,19.55,0,0.03,0.22,0.12,0.1,0
GABARAP,11.46,18.07,0,28.42,27.23,25.15,20.05,12.59,10,22.48,2.55,13.38,8.66,6.36,28.69,195.48,219.05,159.18,126.52,96.78,149.33,185.89,271.46,52.67,14.98,119.98,77.07,46.75,20.87
GALK1,0.03,0.43,0,0.36,0.44,0.02,0,0,0.19,0,0,2.14,0,0.1,0,0,0,0,0.03,1.01,24.37,0.69,0,0,0.03,0.02,136.48,6.97,16.32
GALR2,0.03,0.34,0,0.05,0.18,0.46,0,0,0,0,0,0,0,0.1,0,0,0.46,0,0.03,0,0,0,0,0,0.03,0.02,0,0,0
GAS7,1.91,2.91,3.05,8.56,7.37,5.02,8.13,5.62,10.67,3.23,6.87,10.91,7.32,11.72,10.39,0.22,0.78,0.52,7.33,2.15,6.42,1.34,1.72,0.42,19.29,1.96,2.01,1.33,0.67
GAST,0.03,0,0,1.05,0,0,0,0,0,0,0,0,0,187.55,0,0,2.63,0,0.03,0,0,0,0,35.41,0.03,23.86,0,0,0
GCGR,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.43,3.26,6.78,0.03,0,0,0,0,0,0.03,0.02,0,0,0
GDPD1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.27,0.38,0.04,0.26,0.03,1.52,0,0,0,0.78,0.03,0,4.29,9.97,23.82
GEMIN4,0.03,0,0,0.1,0,0,0,0.26,0,0,0.21,0.26,0,0.1,0,2.97,4.84,12.55,4.64,5.79,57.74,6.63,0.82,7.02,5.64,9.57,23.55,13.68,9.64
GGA3,1.84,2.02,0,11.72,12.13,16.88,13.42,10.93,10.94,3.47,7.73,29.32,5.59,3.82,11.09,3.57,1.56,8.53,2.16,5.05,4.35,4.41,1.16,8.17,6,3.82,12.18,9.99,8.21
GGNBP2,14.33,82.65,46.4,310.29,206.86,187.55,52.12,96.54,144.84,114.02,140.02,224.76,148.61,65.32,67.03,93.02,112.67,178.15,40.96,93.02,146.92,129.72,51.08,96.54,115.65,126.52,29.49,48.97,59.62
GGT6,0.03,1.15,1.79,8.38,6.33,7.34,0.81,1.67,0.85,0.58,2.17,3,0.31,3.42,2.67,0,0.38,0.72,13.42,0,0.63,0,12.15,2.31,0.03,3.81,0,0,0
GIP,0.03,0,0,0,0,0.06,0,0,0,0,0,0,0.56,5.55,0.59,177.73,92.65,123.41,40.85,35.33,81.88,50.4,17.05,251.08,136.48,34.16,13.24,15.3,11.55
GIT1,10.08,10.01,14.11,10.25,14.99,22.87,13.43,12.8,11.18,0.83,14.2,31.66,4.54,3.03,3.48,0.58,0.71,0.25,0.03,0.36,5.72,5.92,1.54,2.89,0.03,0.07,10.85,2.66,2.33
GJC1,2.96,4.26,5.13,9.67,9.74,13.85,9.09,9.26,5.85,11.34,5.44,9.23,11.98,15.57,10.93,14.53,7.77,8.83,2.82,8.74,10.81,8.44,18.99,11.59,1.57,3.86,0.63,1.8,0.82
GLOD4,103.26,52.49,76.81,37.51,55.02,68.54,86.78,100.36,44.76,38.67,35.21,61.68,16.37,31.32,13.58,10.93,17.96,4.78,0.03,32.5,0.81,1.63,0.42,10.93,0.03,12.32,31.77,64.15,66.96
GLTPD2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,5.72,0.03,1.48,0.39,0,0
GNA13,32.96,70.13,75.65,131.31,107.24,138.33,152.2,72.73,213.45,275.75,171.1,104.47,116.4,51.51,133.63,24.88,29.77,41.43,46.31,39.17,2.7,24.55,18.66,15.31,49.07,47.65,9.86,63.34,57.95
GNGT2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,22.21,0,18.96,0.03,0,2.79,22.1,0,1.36,0.03,0,0.46,0.56,0.1
GOSR1,1.17,0.23,0,6.97,9.47,8.07,2.22,1.91,7.33,4.6,0,0.77,0.75,0.1,0,4.27,15.69,11.02,10.26,4.52,14.21,5.18,3.41,23.7,2.08,1.03,28.71,16.55,26.74
GOSR2,1.18,1.67,4.46,8.67,10.06,11.02,11.62,6.32,12.22,3.87,9.3,11.53,5.74,0.1,24.05,22.9,27.58,17.75,6.51,22.48,18.12,9.15,8.16,16.35,2.55,3.45,20.21,10.89,11.56
GP1BA,0.03,1.06,1.99,0.42,0.21,0.53,0.05,0.43,0.22,0.32,0,0.35,0,0.1,3.58,0,0,0,0.03,0,0,0,0,0,0.03,0.12,0,0,0
GPATCH8,13.28,15.77,10.78,17.3,17.22,5.5,6.07,5.98,15.61,4.33,12.93,36.56,4.72,26.68,7.5,3.51,1.18,4.45,7.97,4.18,2.23,2.37,0.97,26.79,29.61,2.15,2.55,2.57,3.78
GPR172B,0.03,0,0,0,0.31,0.08,0,0,0,0,0,1.21,0,0.1,1.22,5.43,2.59,0,0.03,0.52,3.98,0.51,17.61,18.65,1.67,0.04,4.37,3.9,0.27
GPRC5C,0.03,0,0,0,0,0,0.14,0,0,0,0.49,0.12,0,0.1,0,0,0,0,0.03,0.45,6.18,0,20.51,2.48,0.03,0.56,10.73,0.12,3.88
GPS1,0.03,16.43,6.1,4.9,11.18,16.18,9.22,4.35,4.7,5.12,1.18,7.64,21.54,5.36,9.74,19.46,37.43,14.08,6.74,12.62,40.28,19.48,36.82,18.95,68.68,0.6,65.81,11.22,20.31
GPS2,4.9,4.11,1.25,10.63,22.52,9.69,13.09,8.06,14.63,3.59,9.32,24.58,10.77,18.29,35.46,42.73,47.17,37.7,91.32,49.53,52.16,22.52,40.94,80.29,293.92,81.71,41.98,13.65,16.28
GRAPL,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,4.67,0.03,0,2.52,0,0.86,17.54,0.03,0,0,0,0
GRB2,0.03,1.44,0,0.36,0.01,0.4,0,0.09,0.1,0.29,0,0.1,0.29,0.1,0,91.41,67.88,105.93,110.71,44.95,99.97,93.75,63.93,162.63,151.62,77.18,22.42,13.47,8.73
GRB7,206.27,384.21,264.44,650.75,985.37,996.31,474.67,580.84,331.74,47.01,233.87,222.87,155.82,35.97,150.49,3.89,2.14,3.98,0.03,0.6,1.5,8.33,13.29,2.04,0.03,56.25,10.14,6.59,0.78
GRIN2C,0.03,0,0,0.01,0.05,0,0.03,0,0,0,0,0,0,0.1,0,0,0.11,0,0.03,0,0,0,0,0,0.03,0.76,0.13,0,0
GRN,41.83,75.91,38.55,44.52,119.84,89.67,53.24,62.35,50.65,9.25,23.13,25.92,18.62,9.29,36.18,124.58,61.02,86.78,93.22,39.99,109.11,72.5,99.7,248.18,340.31,48.5,166.65,31.37,28.21
GSDMA,0.03,0,0,0.01,0,0.02,0,0,0,0,0,0,2.6,0.1,0,0.1,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0.06
GSDMB,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,3.15,3.3,1.38,0.03,0,0.49,0.61,0,1.23,3.17,0.1,9.28,4.39,5.72
GSG2,79.65,18.14,36.7,10.98,10.5,18.6,15.44,32.58,4.84,15.26,5.81,0.33,0,36.18,1.42,10.17,3.08,0.19,4.34,11.73,34.63,14.28,13.46,2,4.02,6.89,0.85,5.29,2.68
H3F3B,2299.3,1795.06,2159.8,1845.28,1236.17,788.46,2059.84,1547.02,1200.62,1299.37,1299.37,1093.61,776.31,656.3,696.1,1340,1518.31,1277.23,554.8,1254.94,650.75,811.3,435.45,708.04,554.8,838.8,312.29,429.61,397.05
HAP1,2.46,2.08,1.21,21.41,17.91,35.94,20.45,22.72,21.49,2.04,21.29,36.43,12.52,8.13,19.71,16.41,16.25,4.46,3.73,4.52,4.51,3.2,15.22,36.54,18.77,13.36,0.92,0.05,0
HDAC5,0.03,0.73,0.45,0.23,0.37,0.51,0.23,0.04,0.45,0.43,0,0.61,1.58,0.1,1.79,8.8,1.69,5.45,0.03,0.27,4.96,0.38,0.22,14.06,5.33,0.05,4.19,2.59,1.52
